Bed Room,BHK,Place,Price,Sq Ft,Dealer Type
2,BHK,Kolkata,35.67,1189,Broker
2,BHK,Kolkata,31.71,944,Broker
2,BHK,Kolkata,90.12,2311,Broker
2,BHK,Kolkata,48,1231,Broker
2,BHK,Kolkata,29.77,827,Broker
2,BHK,Kolkata,62.67,1177,Broker
2,BHK,Kolkata,34.1,882,Broker
2,BHK,Kolkata,35.82,1025,Broker
2,BHK,Kolkata,40.56,1014,Broker
2,BHK,Kolkata,38.14,1156,Broker
2,BHK,Kolkata,74.21,1903,Broker
2,BHK,Kolkata,90.12,2311,Broker
2,BHK,Kolkata,22.11,670,Broker
2,BHK,Kolkata,45,640,Broker
2,BHK,Kolkata,39.64,1180,Broker
2,BHK,Kolkata,39.33,1320,Broker
2,BHK,Kolkata,29.77,827,Broker
2,BHK,Kolkata,31.71,944,Broker
2,BHK,Kolkata,77.02,983,Broker
2,BHK,Kolkata,74.21,1903,Broker
2,BHK,Kolkata,22.11,670,Broker
2,BHK,Kolkata,55.38,1040,Broker
2,BHK,Kolkata,62.67,1177,Broker
2,BHK,Kolkata,16.92,564,Broker
2,BHK,Kolkata,44.54,655,Broker
3,BHK,Kolkata,39.41,993,Broker
2,BHK,Kolkata,25.15,749,Broker
2,BHK,Kolkata,88.08,1835,Broker
2,BHK,Kolkata,40.04,1001,Broker
2,BHK,Kolkata,36.28,1075,Broker
2,BHK,Kolkata,68.88,1379,Broker
2,BHK,Kolkata,25.23,627,Broker
2,BHK,Kolkata,53.82,1036,Broker
2,BHK,Kolkata,34.1,882,Broker
2,BHK,Kolkata,90.71,1334,Broker
2,BHK,Kolkata,36.18,885,Broker
2,BHK,Kolkata,73.1,1075,Broker
3,BHK,Kolkata,73.97,1424,Broker
3,BHK,Kolkata,33.04,893,Broker
2,BHK,Kolkata,73.1,1075,Broker
2,BHK,Kolkata,38,628,Broker
2,BHK,Kolkata,90.62,1062,Broker
2,BHK,Kolkata,13.65,420,Broker
2,BHK,Kolkata,38,628,Broker
2,BHK,Kolkata,55,1040,Broker
2,BHK,Kolkata,38,628,Broker
2,BHK,Kolkata,42.08,769,Broker
3,BHK,Kolkata,35.64,1020,Broker
2,BHK,Kolkata,70.62,2140,Broker
1,BHK,Kolkata,16.88,469,Broker
2,BHK,Kolkata,39.41,993,Broker
2,BHK,Kolkata,79.56,1170,Broker
2,BHK,Kolkata,53.46,1620,Broker
2,BHK,Kolkata,68.62,1525,Broker
2,BHK,Kolkata,87.29,1343,Broker
3,BHK,Kolkata,50.7,1014,Broker
2,BHK,Kolkata,55.38,1040,Broker
3,BHK,Kolkata,60,956,Broker
2,BHK,Kolkata,36.23,1098,Broker
2,BHK,Kolkata,57,840,Broker
2,BHK,Kolkata,98.86,1535,Broker
2,BHK,Kolkata,48.76,1219,Broker
3,BHK,Kolkata,90.04,1072,Broker
2,BHK,Kolkata,16.92,564,Broker
2,BHK,Kolkata,59.53,968,Broker
2,BHK,Kolkata,35.8,895,Broker
2,BHK,Kolkata,46.92,920,Broker
2,BHK,Kolkata,32.39,1157,Broker
